"","total","crisis","normal"
"ar",0.281333100863947,0.233156179221704,0.291714031163251
"pred_ols",0.356550778254519,0.292110859490903,0.370351706154888
"pred_xgbl",0.325482024138616,0.261476371684107,0.339050181033072
"pred_mean",0.334137226347407,0.266582017815181,0.348406798649557
