"NA.","V2","V3","V4","V5"
"pre-selection",1,1,2,2
"nb variables",40,60,40,60
"ar",0.281261586187181,0.281298454668696,0.281232735322313,0.281333100863947
"pred_ols",0.355278116293988,0.379400071714496,0.310862134390833,0.356550778254519
"pred_xgbl",0.338241599130301,0.338224685901291,0.305171390149733,0.325482024138616
"pred_mean",0.344206271724658,0.352977152685434,0.304762841939681,0.334137226347407
