"","total","crisis","normal"
"ar",0.281232735322313,0.233156179221704,0.291594003399754
"pred_ols",0.310862134390833,0.269860079149057,0.319921646071581
"pred_xgbl",0.305171390149733,0.258413963466049,0.315363297754076
"pred_mean",0.304762841939681,0.257709714774307,0.315011511034588
