"","total","crisis","normal"
"true_value",0,0,0
"ar",0.292141570851801,0.317740999336271,0.28565654650697
"pred_xgbt",0.303766748750099,0.33575591815441,0.295574636772381
"pred_mean",0.303766748750099,0.33575591815441,0.295574636772381
