"","total","crisis","normal"
"ar",0.281261586187181,0.233156179221704,0.291628506997846
"pred_ols",0.355278116293988,0.295246769275634,0.368232253276833
"pred_xgbl",0.338241599130301,0.277392246597644,0.351280515258902
"pred_mean",0.344206271724658,0.277785540109244,0.35831984843542
