"","total","crisis","normal"
"ar",0.281298454668696,0.233156179221704,0.291672598309358
"pred_ols",0.379400071714496,0.321695257161551,0.391987235304645
"pred_xgbl",0.338224685901291,0.250422542318491,0.356090178720857
"pred_mean",0.352977152685434,0.274762015414384,0.369291970623134
